"","Project ID","Project.Type","Offset.Project Operator","Project.Name","Offsets issued","Number of Offsets Un-retired (Estimated, as of Dec. 2018)","Percent of Offsets Sold (Estimated, as of Dec. 2018)","Vintage.Year","Offset Designation","Type of Protocol","Invalidation Period End Date","Issuance Date"
"565","CAMM0120-B","Mine Methane","Vessels Coal Inc","Elk Creek Coal Mine Methane",64987,0,"100%","2014","CCO-0","Early Action",2019-06-21,2016-06-21
"561","CAMM0120-A2","Mine Methane","Vessels Coal Inc","Elk Creek Coal Mine Methane",41703,7625,"82%","2014","CCO-3","Early Action",2019-08-23,2016-08-23
"557","CAMM0120-B2","Mine Methane","Vessels Coal Inc","Elk Creek Coal Mine Methane",19328,19328,"0%","2014","CCO-3","Early Action",2019-08-23,2016-08-23
"539","CALS0081-A","Livestock","Camco International","Edaleen Cow Power, LLC",9619,0,"100%","2014","CCO-0","Early Action",2018-11-23,2015-11-23
"536","CAOD5059-A","Ozone Depleting Substances","Environmental Credit Corp","ECC ODS Destruction 2-2014",126314,0,"100%","2014","CCO-0","Compliance",2017-02-12,2015-04-07
"519","CAOD5036-A","Ozone Depleting Substances","A-Gas","DPC Domestic ODS",30587,26867,"12%","2014","CCO-0","Compliance",2017-01-22,2015-02-10
"491","CAOD5066-A","Ozone Depleting Substances","A-Gas","DPC Domestic ODS",17848,15014,"16%","2014","CCO-0","Compliance",2017-05-28,2015-02-24
"459","CAOD5050-A","Ozone Depleting Substances","A-Gas","DPC Domestic ODS",99696,99696,"0%","2014","CCO-0","Compliance",2017-04-07,2015-02-10
"443","CALS0055-C","Livestock","Camco International","Double A Dairy",49621,18216,"63%","2014","CCO-0","Compliance",2018-09-22,2015-09-22
"424","CALS0015-D","Livestock","Camco International","District 45 Dairy",14766,0,"100%","2014","CCO-0","Compliance",2018-09-22,2015-09-22
"398","CALS5020-A","Livestock","WTE Dairies","Deer Run Digester",4285,0,"100%","2014","CCO-0","Compliance",2017-03-31,2015-05-12
"392","CALS5021-A","Livestock","WTE Dairies","Dairyland Digester",14722,0,"100%","2014","CCO-0","Compliance",2017-03-31,2015-05-12
"381","CALS0082-F","Livestock","Native Energy","Dairy Dreams",10591,0,"100%","2014","CCO-0","Compliance",2019-03-08,2016-03-08
"379","CALS0082-E","Livestock","Native Energy","Dairy Dreams",19870,0,"100%","2014","CCO-0","Compliance",2019-03-08,2016-03-08
"365","CALS5074-A","Livestock","CSE","CSE Arizona Facility",16671,0,"100%","2014","CCO-0","Compliance",2017-03-31,2015-05-26
"337","CAMM0118-E","Mine Methane","Keyrock Energy Inc","Corinth Abandoned Mine",133651,0,"100%","2014","CCO-8","Early Action",2023-11-09,2015-11-09
"281","CALS0013-D","Livestock","Camco International","Central Sands Dairy LLC",14733,14733,"0%","2014","CCO-0","Compliance",2018-04-21,2015-04-21
"275","CAMM0115-C","Mine Methane","Vessels Coal Inc","Cambria 33 Abandoned Mine",24729,0,"100%","2014","CCO-8","Early Action",2024-06-21,2016-06-21
"270","CAFR5055-A","U.S. Forest",NA,"Buckeye Forest Project",266711,166711,"37%","2014","CCO-0","Compliance",2017-05-31,2015-09-08
"251","CAFR5096-A","U.S. Forest","Coastal Forestlands,","Brushy Mountain",1105031,0,"100%","2014","CCO-0","Compliance",2017-09-30,2015-11-09
"241","CALS5041-A","Livestock","Brook View Dairy","Brook View Dairy Methane",12988,12988,"0%","2014","CCO-0","Compliance",2017-01-31,2014-12-09
"205","CALS0020-D","Livestock","Camco International","Bridgewater Dairy LLC",11169,11169,"0%","2014","CCO-0","Compliance",2018-03-24,2015-03-24
"169","CAFR0026-J","U.S. Forest","David Dicktel","Blue Source – Pungo River",2533,2533,"0%","2014","CCO-8","Compliance",2024-03-22,2016-03-22
"139","CAFR5043-A","U.S. Forest","Blue Source","Blue Source – Goodman",693615,0,"100%","2014","CCO-0","Compliance",2017-06-30,2015-08-11
"130","CAFR5003-B","U.S. Forest","Finite Carbon","Blue Source – Bishop Improved",119314,88107,"26%","2014","CCO-0","Compliance",2017-06-23,2015-09-08
"124","CAFR0029-E","U.S. Forest",NA,"Blue Source – Alligator River",15878,0,"100%","2014","CCO-8","Early Action",2024-06-21,2016-06-21
"112","CALS5014-B","Livestock","Blue Mountain Biogas.","Blue Mountain Biogas",62223,61941,"0%","2014","CCO-0","Compliance",2017-07-31,2015-06-23
"104","CALS5023-B","Livestock","Big Sky Dairy","Big Sky Dairy",24558,0,"100%","2014","CCO-0","Compliance",2017-10-29,2016-01-26
"53","CALS5152-A","Livestock","Aurora Ridge Dairy","Aurora Ridge Dairy",11065,0,"100%","2014","CCO-0","Compliance",2017-12-31,2017-02-21
"47","CAFR5095-A","U.S. Forest","Washington Environmental Council","Ashford III",37875,37875,"0%","2014","CCO-8","Compliance",2022-12-19,2016-02-09
"37","CALS0109-B","Livestock","Camco International","Alliance Dairies",7810,0,"100%","2014","CCO-0","Compliance",2018-12-22,2015-12-22
"27","CAOD5092-A","Ozone Depleting Substances",NA,"A-GAS RemTec 2014-3",148331,0,"100%","2014","CCO-0","Compliance",2017-12-08,2016-01-12
"26","CAOD5079-A","Ozone Depleting Substances",NA,"A-GAS RemTec 2014-2",107744,107744,"0%","2014","CCO-0","Compliance",2017-07-18,2015-06-23
"25","CAOD5067-A","Ozone Depleting Substances",NA,"A-GAS RemTec 2014-1",129838,129838,"0%","2014","CCO-0","Compliance",2017-06-01,2014-12-09
"24","CAOD5062-A","Ozone Depleting Substances",NA,"A-GAS RemTec 2013-5",129099,129099,"0%","2014","CCO-0","Compliance",2017-04-23,2015-06-23
"23","CAOD5039-A","Ozone Depleting Substances",NA,"A-GAS RemTec 2013-4",191960,119526,"38%","2014","CCO-0","Compliance",2017-01-14,2015-03-24
"1","CAOD5052-A","Ozone Depleting Substances","EOS Climate (Blue Source)","2014-P4",71825,7154,"90%","2014","CCO-0","Compliance",2017-04-22,2015-02-10
"1781","CAFR5011-A","U.S. Forest","Forest Carbon Partners","Yurok Tribe/Forest Carbon",704432,702865,"0%","2013","CCO-0","Compliance",2016-03-31,2014-04-08
"1777","CAFR0064-C","U.S. Forest","Forest Carbon Partners","Yurok Tribe Sustainable Forest",25033,0,"100%","2013","CCO-8","Early Action",2023-11-09,2015-11-09
"1735","CALS0021-B","Livestock","Camco International","Willow Point Dairy, LLC",14985,0,"100%","2013","CCO-0","Compliance",2017-08-12,2014-08-12
"1691","CAFR0001-J","U.S. Forest","Coastal Ridges LLC","Willits Woods",128362,42572,"67%","2013","CCO-8","Early Action",2023-01-13,2015-01-13
"1680","CALS0094-A","Livestock","Camco International","Willet Dairy",10543,9967,"5%","2013","CCO-0","Compliance",2018-02-24,2015-02-24
"1640","CALS0014-C","Livestock","Camco International","West River Farm Anaerobic",23873,23873,"0%","2013","CCO-0","Compliance",2017-09-09,2014-09-09
"1615","CAOD5031-A","Ozone Depleting Substances","Wabashco, Inc","Wabashco Clean Sweep 2",88044,88044,"0%","2013","CCO-0","Compliance",2016-12-15,2014-03-25
"1614","CAOD5007-A","Ozone Depleting Substances","Wabashco, Inc","Wabashco Clean Sweep 1",50600,50000,"1%","2013","CCO-0","Compliance",2016-06-17,2013-10-22
"1613","CAFR5037-A","U.S. Forest","Finite Carbon","Virginia Highlands I",156167,56167,"64%","2013","CCO-8","Compliance",2021-12-31,2015-09-08
"1589","CAFR0102-G","U.S. Forest","The Nature Conservancy","Virginia Conservation Forestry",26680,26680,"0%","2013","CCO-3","Compliance",2019-08-31,2016-08-31
"1561","CAMM0098-B","Mine Methane","McElroy Green Marketing","Verdeo McElroy VAM",152828,111471,"27%","2013","CCO-0","Compliance",2018-02-24,2015-02-24
"1557","CALS0043-B","Livestock","Camco International","Vanderhyde Dairy",7426,7426,"0%","2013","CCO-0","Early Action",2018-01-13,2015-01-13
"1542","CALS5060-A","Livestock","Van Erk Digester","Van-Erk Digester Project",3739,0,"100%","2013","CCO-8","Compliance",2021-12-31,2015-06-23
"1538","CAMM0095-D","Mine Methane","Biothermica Coal Carbon Inc.","Vamox® Demonstration Project",10379,0,"100%","2013","CCO-0","Early Action",2018-02-24,2015-02-24
"1524","CAFR0123-G","U.S. Forest","Usal Redwood","Usal Redwood Forest",262032,50000,"81%","2013","CCO-3","Early Action",2019-08-09,2016-08-09
"1474","CAFR0049-G","U.S. Forest","Pacific Forest Trust","The Van Eck Forest",18831,0,"100%","2013","CCO-3","Early Action",2019-07-12,2016-07-12
"1452","CALS0083-B","Livestock","Camco International","The Dry Creek Dairy",29905,29905,"0%","2013","CCO-0","Early Action",2018-06-23,2015-06-23
"1445","CALS0099-C","Livestock","Cargill, Inc","The B6 Dairy Farm",12039,0,"100%","2013","CCO-8","Early Action",2023-10-13,2015-10-13
"1438","CALS5047-A","Livestock","ClimeCo Corporation","T&M Windy Ridge Dairy",28626,28626,"0%","2013","CCO-0","Compliance",2016-12-31,2015-04-07
"1422","CALS5046-A","Livestock","ClimeCo Corporation","T&M Hidden View Dairy",14031,14031,"0%","2013","CCO-0","Compliance",2016-12-31,2015-04-07
"1404","CALS5044-A","Livestock","ClimeCo Corporation","T&M Bos Dairy",10993,0,"100%","2013","CCO-0","Compliance",2016-12-31,2015-04-07
"1382","CALS0096-A","Livestock","Camco International","Synergy Biogas, LLC",7001,7001,"0%","2013","CCO-0","Early Action",2018-03-24,2015-03-24
"1379","CALS0119-B","Livestock","ClimeCo Corporation","Sunnyside Farms Inc",13942,0,"100%","2013","CCO-0","Compliance",2018-12-08,2015-12-08
"1361","CALS5042-A","Livestock","Sunny Knoll Farms","Sunny Knoll Farms Anaerobic",5005,5005,"0%","2013","CCO-0","Compliance",2016-10-31,2014-11-25
"1348","CALS0104-A","Livestock","Camco International","Storms Hog Power, LLC",3698,0,"100%","2013","CCO-0","Compliance",2018-06-23,2015-06-23
"1312","CAOD5027-A","Ozone Depleting Substances","RapRec Refrigerants,","RR ACR 2013",56124,12220,"78%","2013","CCO-0","Compliance",2016-11-01,2015-04-21
"1302","CAFR5028-A","U.S. Forest","Forest Carbon Partners","Round Valley Indian Tribes",464571,334078,"28%","2013","CCO-0","Compliance",2016-11-30,2015-01-27
"1274","CALS0012-C","Livestock","Camco International","Riverview Farm Anaerobic",30840,26135,"15%","2013","CCO-0","Compliance",2017-09-09,2014-09-09
"1266","CAFR0100-A","U.S. Forest","Rips Redwoods","Rips Redwoods",93659,93659,"0%","2013","CCO-8","Compliance",2024-04-26,2016-04-26
"1196","CALS0075-B","Livestock","Environmental Credit Corp","Patterson Farms",5895,5264,"11%","2013","CCO-0","Compliance",2018-04-21,2015-04-21
"1147","CALS5032-A","Livestock","New Energy One","New Energy One Livestock",43183,27743,"36%","2013","CCO-0","Compliance",2016-09-30,2014-09-09
"1144","CAFR5016-A","U.S. Forest","Edward Miller","Miller Forest",219084,219084,"0%","2013","CCO-8","Compliance",2021-06-30,2014-06-24
"1073","CAFR0106-F","U.S. Forest","Northeast Wilderness Trust","Howland Research Forest",834,0,"100%","2013","CCO-8","Early Action",2024-08-31,2016-08-31
"1021","CAFR5012-A","U.S. Forest","Forest Carbon Partners","Hanes Ranch Forest Carbon",86628,86628,"0%","2013","CCO-8","Compliance",2021-08-25,2014-08-26
"1007","CAFR0042-G","U.S. Forest","The Conservation Fund","Gualala River Forest",564,0,"100%","2013","CCO-8","Compliance",2023-09-08,2015-09-08
"993","CALS0071-A","Livestock","Grotegut Dairy","Grotegut Dairy Farm, Inc.",11679,11679,"0%","2013","CCO-0","Early Action",2018-04-21,2015-04-21
"979","CALS0034-A","Livestock","Origin Climate Inc.","Green Valley Dairy",12389,10820,"13%","2013","CCO-0","Compliance",2017-08-26,2014-08-26
"973","CAMM0101-C","Mine Methane","Solvay Chemicals Inc.","Green River Trona Mine",83099,0,"100%","2013","CCO-0","Compliance",2019-01-26,2016-01-26
"958","CAFR0063-H","U.S. Forest","Green Assets","Green Assets – Middleton",44208,6967,"84%","2013","CCO-0","Compliance",2018-02-24,2015-02-24
"928","CAFR5029-A","U.S. Forest","Brookgreen Gardens","Green Assets-Brookgreen",162551,162551,"0%","2013","CCO-8","Compliance",2021-12-06,2015-01-13
"913","CALS0097-A","Livestock","Camco International","Gardeau Crest Dairy",9058,9058,"0%","2013","CCO-0","Early Action",2018-03-10,2015-03-10
"899","CAFR0040-D","U.S. Forest","The Conservation Fund","Garcia River Forest",81,81,"0%","2013","CCO-8","Early Action",2023-11-09,2015-11-09
"871","CALS0114-B","Livestock","Fiscalini Properties","Fiscalini Farms Anaerobic",5955,5955,"0%","2013","CCO-0","Early Action",2018-11-09,2015-11-09
"867","CAFR0002-C","U.S. Forest","Finite Carbon","Finite Carbon Farm Cove",827,827,"0%","2013","CCO-8","Compliance",2024-08-31,2016-08-31
"822","CAFR0088-D","U.S. Forest","Finite Carbon","Finite Carbon – Shannondale",4747,4747,"0%","2013","CCO-3","Early Action",2019-08-31,2016-08-31
"796","CAFR0116-G","U.S. Forest","Finite Carbon","Finite Carbon – NEFF",3082,2685,"13%","2013","CCO-8","Early Action",2024-02-23,2016-02-23
"767","CAFR0103-G","U.S. Forest","Finite Carbon","Finite Carbon – MWF",5935,0,"100%","2013","CCO-0","Early Action",2018-10-27,2015-10-27
"714","CAFR0070-A","U.S. Forest","Finite Carbon","Finite Carbon – Berry Summit",193277,193277,"0%","2013","CCO-0","Early Action",2018-05-12,2015-05-12
"682","CALS0122-A","Livestock","The Climate Trust","Farm Power Lynden Anaerobic",10426,0,"100%","2013","CCO-3","Early Action",2019-07-12,2016-07-12
"673","CALS0024-C","Livestock","Camco International","Fair Oaks Dairy Farm, LLC",43263,43263,"0%","2013","CCO-0","Compliance",2017-10-07,2014-10-07
"669","CALS0023-B","Livestock","Camco International","Fair Oaks Dairy Farm, LLC",9198,7951,"14%","2013","CCO-0","Early Action",2017-11-25,2014-11-25
"653","CAOD5015-A","Ozone Depleting Substances","EOS Climate (Blue Source)","EOS ARB ODS 2013-6",51864,45829,"12%","2013","CCO-8","Compliance",2021-09-09,2014-02-25
"652","CAOD5009-A","Ozone Depleting Substances","EOS Climate (Blue Source)","EOS ARB ODS 2013-5",126155,124807,"1%","2013","CCO-8","Compliance",2021-11-21,2014-03-25
"651","CAOD5017-A","Ozone Depleting Substances","EOS Climate (Blue Source)","EOS ARB ODS 2013-3",122800,71788,"42%","2013","CCO-8","Compliance",2021-10-01,2014-04-08
"650","CAOD5004-A","Ozone Depleting Substances","EOS Climate (Blue Source)","EOS ARB ODS 2013-2",55996,45148,"19%","2013","CCO-8","Compliance",2021-03-31,2013-11-26
"649","CAOD5001-A","Ozone Depleting Substances","EOS Climate (Blue Source)","EOS ARB ODS 2013-1",107542,107542,"0%","2013","CCO-0","Compliance",2016-02-01,2013-10-22
"632","CAOD0072-B","Ozone Depleting Substances","EOS Climate (Blue Source)","EOS ACR 2013",122048,20628,"83%","2013","CCO-0","Early Action",2017-11-25,2014-11-25
"631","CAOD0072-A","Ozone Depleting Substances","EOS Climate (Blue Source)","EOS ACR 2013",126977,112089,"12%","2013","CCO-8","Early Action",2022-11-25,2014-11-25
"583","CAOD0059-C","Ozone Depleting Substances","EOS Climate (Blue Source)","EOS-2013 Domestic",95469,95469,"0%","2013","CCO-0","Early Action",2017-05-13,2014-05-13
"581","CAOD0059-A","Ozone Depleting Substances","EOS Climate (Blue Source)","EOS-2013 Domestic",130010,130010,"0%","2013","CCO-0","Early Action",2016-12-10,2013-12-10
"579","CAOD0059-B","Ozone Depleting Substances","EOS Climate (Blue Source)","EOS-2013 Domestic",100189,99477,"1%","2013","CCO-8","Early Action",2022-01-21,2014-01-21
"559","CAMM0120-D","Mine Methane","Vessels Coal Inc","Elk Creek Coal Mine Methane",60854,6979,"89%","2013","CCO-3","Early Action",2019-08-23,2016-08-23
"551","CALS0081-B","Livestock","Camco International","Edaleen Cow Power, LLC",7282,0,"100%","2013","CCO-0","Early Action",2019-01-26,2016-01-26
"538","CAOD5013-A","Ozone Depleting Substances","Environmental Credit Corp","ECC ODS Destruction 2013",255227,227807,"11%","2013","CCO-0","Compliance",2016-06-11,2014-02-11
"535","CAOD5033-A","Ozone Depleting Substances","Environmental Credit Corp","ECC ODS Destruction 11-2013",113438,113438,"0%","2013","CCO-0","Compliance",2016-11-03,2015-01-27
"511","CAOD5026-A","Ozone Depleting Substances","A-Gas","DPC Domestic ODS",24874,12465,"50%","2013","CCO-0","Compliance",2016-11-08,2014-05-13
"495","CAOD0061-A","Ozone Depleting Substances","A-Gas","DPC Domestic ODS",38517,38514,"0%","2013","CCO-0","Early Action",2017-01-21,2014-01-21
"479","CAOD0062-A","Ozone Depleting Substances","A-Gas","DPC Domestic ODS",53490,52083,"3%","2013","CCO-0","Compliance",2017-01-21,2014-01-21
"475","CAOD5024-A","Ozone Depleting Substances","A-Gas","DPC Domestic ODS",46275,46275,"0%","2013","CCO-0","Compliance",2016-10-28,2014-03-25
"455","CAOD5022-A","Ozone Depleting Substances","A-Gas","DPC Domestic ODS",23276,15869,"32%","2013","CCO-0","Compliance",2016-10-06,2014-03-25
"431","CALS0055-B","Livestock","Camco International","Double A Dairy",46875,46875,"0%","2013","CCO-0","Compliance",2018-01-27,2015-01-27
"412","CALS0015-C","Livestock","Camco International","District 45 Dairy",21466,21466,"0%","2013","CCO-0","Compliance",2017-09-09,2014-09-09
"382","CALS0082-B","Livestock","Native Energy","Dairy Dreams",7169,0,"100%","2013","CCO-0","Compliance",2018-10-13,2015-10-13
"353","CALS0124-B","Livestock","Blue Spruce Energy","Cottonwood Dairy Livestock",16645,0,"100%","2013","CCO-8","Early Action",2024-06-21,2016-06-21
"336","CAMM0118-D","Mine Methane","Keyrock Energy Inc","Corinth Abandoned Mine",138571,0,"100%","2013","CCO-8","Early Action",2023-11-09,2015-11-09
"326","CAOD0091-A","Ozone Depleting Substances","A-Gas","Coolgas ODS 2013 Project #1",108627,108627,"0%","2013","CCO-0","Early Action",2017-09-09,2014-09-09
"285","CALS0013-C","Livestock","Camco International","Central Sands Dairy LLC",13486,13486,"0%","2013","CCO-0","Compliance",2017-04-22,2014-04-22
"276","CAMM0115-B","Mine Methane","Vessels Coal Inc","Cambria 33 Abandoned Mine",26595,0,"100%","2013","CCO-8","Early Action",2024-02-09,2016-02-09
"221","CALS0020-C","Livestock","Camco International","Bridgewater Dairy LLC",13808,13808,"0%","2013","CCO-0","Compliance",2017-04-22,2014-04-22
"177","CAFR0026-I","U.S. Forest","David Dicktel","Blue Source – Pungo River",1362,1362,"0%","2013","CCO-8","Compliance",2024-03-22,2016-03-22
"129","CAFR5003-A","U.S. Forest","Finite Carbon","Blue Source – Bishop Improved",1748472,946153,"46%","2013","CCO-0","Compliance",2016-06-23,2014-06-10
"126","CAFR0029-D","U.S. Forest",NA,"Blue Source – Alligator River",67592,0,"100%","2013","CCO-8","Early Action",2024-06-21,2016-06-21
"116","CALS5014-A","Livestock","Blue Mountain Biogas.","Blue Mountain Biogas",24643,0,"100%","2013","CCO-0","Compliance",2016-07-31,2014-11-12
"98","CALS5023-A","Livestock","Big Sky Dairy","Big Sky Dairy",19179,0,"100%","2013","CCO-0","Compliance",2016-10-29,2015-05-26
"51","CALS0110-B","Livestock","Aurora Ridge Dairy","Aurora Ridge",11375,0,"100%","2013","CCO-3","Early Action",2019-08-09,2016-08-09
"38","CALS0109-A","Livestock","Camco International","Alliance Dairies",1282,0,"100%","2013","CCO-0","Compliance",2018-12-22,2015-12-22
"29","CAFR0105-H","U.S. Forest","Northeast Wilderness Trust","Alder Stream Preserve",612,0,"100%","2013","CCO-8","Compliance",2024-08-31,2016-08-31
"22","CAOD5018-A","Ozone Depleting Substances",NA,"A-GAS RemTec 2013-1",93055,89436,"4%","2013","CCO-0","Compliance",2016-07-26,2015-03-10
"1776","CAFR0064-B","U.S. Forest","Forest Carbon Partners","Yurok Tribe Sustainable Forest",26341,0,"100%","2012","CCO-8","Early Action",2023-11-09,2015-11-09
"1755","CAOD0066-A","Ozone Depleting Substances","Wilshire Stanford Offsets","WSO 2011 2",46215,46215,"0%","2012","CCO-8","Compliance",2022-01-21,2014-01-21
"1747","CALS0060-C","Livestock","Environmental Credit Corp","Windy Ridge Dairy",14297,0,"100%","2012","CCO-0","Early Action",2017-08-26,2014-08-26
"1739","CALS0021-A","Livestock","Camco International","Willow Point Dairy, LLC",11648,11648,"0%","2012","CCO-0","Compliance",2017-08-12,2014-08-12
"1707","CALS0021-A2","Livestock","Camco International","Willow Point Dairy, LLC",2158,0,"100%","2012","CCO-0","Compliance",2018-08-25,2015-08-25
"1693","CAFR0001-I","U.S. Forest","Coastal Ridges LLC","Willits Woods",129451,79451,"39%","2012","CCO-8","Early Action",2021-11-12,2013-11-12
"1634","CALS0014-B","Livestock","Camco International","West River Farm Anaerobic",16160,16160,"0%","2012","CCO-0","Compliance",2016-12-24,2013-12-24
"1595","CAFR0102-F","U.S. Forest","The Nature Conservancy","Virginia Conservation Forestry",26004,0,"100%","2012","CCO-3","Compliance",2019-08-31,2016-08-31
"1560","CAMM0098-A","Mine Methane","McElroy Green Marketing","Verdeo McElroy VAM",44583,44550,"0%","2012","CCO-0","Compliance",2018-02-24,2015-02-24
"1559","CALS0043-A","Livestock","Camco International","Vanderhyde Dairy",5914,5914,"0%","2012","CCO-0","Early Action",2017-07-22,2014-07-22
"1540","CAMM0095-C","Mine Methane","Biothermica Coal Carbon Inc.","Vamox® Demonstration Project",16234,16234,"0%","2012","CCO-0","Early Action",2018-02-24,2015-02-24
"1526","CAFR0123-F","U.S. Forest","Usal Redwood","Usal Redwood Forest",253289,113030,"55%","2012","CCO-3","Early Action",2019-08-09,2016-08-09
"1482","CAFR0049-F","U.S. Forest","Pacific Forest Trust","The Van Eck Forest",20306,0,"100%","2012","CCO-0","Early Action",2019-02-09,2016-02-09
"1456","CALS0083-A","Livestock","Camco International","The Dry Creek Dairy",3359,0,"100%","2012","CCO-0","Early Action",2017-10-07,2014-10-07
"1442","CALS0099-B","Livestock","Cargill, Inc","The B6 Dairy Farm",15155,0,"100%","2012","CCO-8","Early Action",2023-07-21,2015-07-21
"1377","CALS0119-A","Livestock","ClimeCo Corporation","Sunnyside Farms Inc",10222,10222,"0%","2012","CCO-0","Compliance",2018-12-08,2015-12-08
"1331","CALS0093-B","Livestock","Solar & Renewables Management","Southern Generation",8412,8412,"0%","2012","CCO-0","Early Action",2018-04-07,2015-04-07
"1315","CALS0035-D","Livestock","Origin Climate Inc.","Scenic View Dairy",16984,342,"98%","2012","CCO-0","Compliance",2019-04-26,2016-04-26
"1310","CAOD0025-A","Ozone Depleting Substances","RapRec Refrigerants,","RR 2012 1",54497,54497,"0%","2012","CCO-8","Early Action",2021-09-23,2013-09-23
"1308","CAOD0004-A","Ozone Depleting Substances","RapRec Refrigerants,","RR 2012 1",117496,70000,"40%","2012","CCO-0","Early Action",2016-09-23,2013-09-23
"1283","CALS0012-A","Livestock","Camco International","Riverview Farm Anaerobic",23646,23646,"0%","2012","CCO-0","Compliance",2016-12-24,2013-12-24
"1244","CAOD0054-A","Ozone Depleting Substances",NA,"RemTec ODS Destruction",120267,120267,"0%","2012","CCO-0","Compliance",2017-04-08,2014-04-08
"1242","CAOD0054-B","Ozone Depleting Substances",NA,"RemTec ODS Destruction",36615,23263,"36%","2012","CCO-0","Compliance",2017-04-08,2014-04-08
"1240","CAOD0053-A","Ozone Depleting Substances",NA,"RemTec International ODS",90214,0,"100%","2012","CCO-8","Compliance",2022-05-27,2014-05-27
"1229","CAOD0092-A","Ozone Depleting Substances","Refridgerant Exchange Corp","Refex ODS California 2010",12510,0,"100%","2012","CCO-8","Compliance",2023-09-22,2015-09-22
"1217","CAOD0068-D","Ozone Depleting Substances","A-Gas","Pure Chem Domestic ODS",102276,0,"100%","2012","CCO-0","Early Action",2018-05-12,2015-05-12
"1207","CAOD0039-A","Ozone Depleting Substances","Perfect Score Technologies","Perfect Cycle ODS-1",52500,51039,"3%","2012","CCO-8","Early Action",2021-09-23,2013-09-23
"1205","CAOD0050-A","Ozone Depleting Substances","A-Gas","PCS Domestic ODS",72653,0,"100%","2012","CCO-8","Compliance",2022-02-11,2014-02-11
"1203","CAOD0051-A","Ozone Depleting Substances","A-Gas","PCS Domestic ODS",232039,202062,"13%","2012","CCO-8","Compliance",2021-12-10,2013-12-10
"1201","CAOD0084-A","Ozone Depleting Substances","A-Gas","PCS Domestic ODS",96833,55860,"42%","2012","CCO-0","Compliance",2018-02-10,2015-02-10
"1194","CALS0075-A","Livestock","Environmental Credit Corp","Patterson Farms",1787,1787,"0%","2012","CCO-0","Compliance",2018-04-21,2015-04-21
"1166","CALS0032-A","Livestock","Origin Climate Inc.","Pagel's Ponderosa Dairy",16461,16461,"0%","2012","CCO-0","Early Action",2016-11-12,2013-11-12
"1123","CAFR0073-F","U.S. Forest","Bascom Pacific","McCloud River",38047,10000,"74%","2012","CCO-8","Compliance",2024-08-23,2016-08-23
"1075","CAFR0106-E","U.S. Forest","Northeast Wilderness Trust","Howland Research Forest",834,0,"100%","2012","CCO-8","Early Action",2024-08-31,2016-08-31
"1069","CAOD0078-D","Ozone Depleting Substances",NA,"Honeywell ODS Destruction",27056,5367,"80%","2012","CCO-8","Compliance",2023-12-22,2015-12-22
"1063","CAOD0078-C","Ozone Depleting Substances",NA,"Honeywell ODS Destruction",34332,0,"100%","2012","CCO-8","Compliance",2023-12-22,2015-12-22
"1031","CALS0046-C","Livestock","Environmental Credit Corp","Hidden View Dairy",20299,20299,"0%","2012","CCO-0","Compliance",2017-05-13,2014-05-13
"1027","CALS0056-B","Livestock","Environmental Credit Corp","Herrema Dairy",10567,10567,"0%","2012","CCO-0","Early Action",2017-08-12,2014-08-12
"1001","CAFR0042-F","U.S. Forest","The Conservation Fund","Gualala River Forest",81945,81945,"0%","2012","CCO-8","Compliance",2022-05-27,2014-05-27
"982","CALS0034-C","Livestock","Origin Climate Inc.","Green Valley Dairy",1708,0,"100%","2012","CCO-0","Compliance",2018-02-10,2015-02-10
"976","CAMM0101-B","Mine Methane","Solvay Chemicals Inc.","Green River Trona Mine",77081,0,"100%","2012","CCO-0","Compliance",2019-01-26,2016-01-26
"972","CALS0044-A","Livestock","Camco International","Green Meadow Farm",4565,3159,"31%","2012","CCO-8","Compliance",2022-08-12,2014-08-12
"942","CAFR0063-G","U.S. Forest","Green Assets","Green Assets – Middleton",44242,0,"100%","2012","CCO-0","Compliance",2018-02-24,2015-02-24
"897","CAFR0040-C2","U.S. Forest","The Conservation Fund","Garcia River Forest",19463,0,"100%","2012","CCO-8","Early Action",2023-12-22,2015-12-22
"893","CAFR0040-C","U.S. Forest","The Conservation Fund","Garcia River Forest",81,81,"0%","2012","CCO-8","Early Action",2023-11-09,2015-11-09
"875","CALS0114-A","Livestock","Fiscalini Properties","Fiscalini Farms Anaerobic",788,788,"0%","2012","CCO-0","Early Action",2018-10-27,2015-10-27
"865","CAFR0002-B","U.S. Forest","Finite Carbon","Finite Carbon Farm Cove",33021,27059,"18%","2012","CCO-8","Compliance",2024-08-31,2016-08-31
"856","CAFR0080-D","U.S. Forest","Finite Carbon","Finite Carbon – The Forestland",39079,0,"100%","2012","CCO-0","Early Action",2017-11-12,2014-11-12
"818","CAFR0088-C","U.S. Forest","Finite Carbon","Finite Carbon – Shannondale",8980,8980,"0%","2012","CCO-3","Early Action",2019-08-31,2016-08-31
"800","CAFR0047-G","U.S. Forest","Finite Carbon","Finite Carbon – Potlatch Moro",5187,5187,"0%","2012","CCO-0","Compliance",2016-12-24,2013-12-24
"793","CAFR0116-F","U.S. Forest","Finite Carbon","Finite Carbon – NEFF",3082,2685,"13%","2012","CCO-8","Early Action",2024-02-23,2016-02-23
"739","CAFR0103-F","U.S. Forest","Finite Carbon","Finite Carbon – MWF",8936,0,"100%","2012","CCO-0","Early Action",2018-10-27,2015-10-27
